postal_code,category,number_licensed
L0G,DRIVING INSTRUCTOR (V),7
L0G,HAWKER/PEDLAR ON FOOT,1
L0G,HAWKER/PEDLAR WITH MOTOR VEHICLE,1
L0G,HEATING CONTRACTOR,4
L0G,LIMOUSINE OWNER,1
L0G,MASTER HEATING INSTALLER,27
L0G,MASTER PLUMBER,37
L0G,MOTORIZED REFRESHMENT VEHICLE OWNER,6
L0G,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,5
L0G,PLUMBING & HEATING CONTRACTOR,1
L0G,PLUMBING CONTRACTOR,7
L0G,TAXICAB OWNER,14
L0G,TOW TRUCK OWNER,6
L0G 1A0,BUILDING RENOVATOR,2
L0G 1B0,BUILDING RENOVATOR,3
L0G 1E0,BUILDING RENOVATOR,1
L0G 1J0,BUILDING RENOVATOR,1
L0G 1J0,LIMOUSINE OWNER,3
L0G 1J0,LIMOUSINE SERVICE COMPANY,1
L0G 1J0,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0G 1J0,TEMPORARY SIGN - MOBILE,7
L0G 1J0,TOW TRUCK OWNER,6
L0G 1L0,PLUMBING CONTRACTOR,1
L0G 1L0,TOW TRUCK OWNER,3
L0G 1M0,BUILDING RENOVATOR,4
L0G 1M0,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0G 1M0,PLUMBING & HEATING CONTRACTOR,1
L0G 1M0,PLUMBING CONTRACTOR,1
L0G 1N0,BUILDING RENOVATOR,11
L0G 1N0,DRIVEWAY PAVING CONTRACTOR,3
L0G 1N0,HEATING CONTRACTOR,1
L0G 1N0,PLUMBING CONTRACTOR,6
L0G 1N0,TAXICAB OWNER,5
L0G 1N0,TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),1
L0G 1R0,BUILDING RENOVATOR,1
L0G 1R0,PRIVATE PARKING ENFORCEMENT AGENCY,1
L0G 1R0,TOW TRUCK OWNER,4
L0G 1T0,BUILDING RENOVATOR,5
L0G 1T0,PLUMBING CONTRACTOR,1
L0G 1T0,TOW TRUCK OWNER,18
L0G 1V0,BUILDING RENOVATOR,7
L0G 1V0,HEATING CONTRACTOR,1
L0G 1V0,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0G 1V0,PLUMBING & HEATING CONTRACTOR,3
L0G 1V0,TOW TRUCK OWNER,1
L0G 1W0,BUILDING RENOVATOR,9
L0G 1W0,DRIVEWAY PAVING CONTRACTOR,1
L0G 1W0,HEATING CONTRACTOR,1
L0G 1W0,TAXICAB OWNER,2
L0H,AUCTIONEER,1
L0H,BUILDING RENOVATOR,7
L0H,DRAIN CONTRACTOR,2
L0H,DRIVING INSTRUCTOR (V),1
L0H,HAWKER/PEDLAR ON FOOT,1
L0H,MASTER HEATING INSTALLER,5
L0H,MASTER PLUMBER,2
L0H,PLUMBING CONTRACTOR,1
L0H,TAXICAB OWNER,5
L0H,TORONTO TAXICAB OWNER,1
L0H,TRANSIENT TRADER,1
L0H 1G0,BUILDING RENOVATOR,6
L0H 1G0,DRIVEWAY PAVING CONTRACTOR,1
L0H 1G0,HEATING CONTRACTOR,3
L0H 1G0,PLUMBING & HEATING CONTRACTOR,1
L0H 1H0,BUILDING RENOVATOR,1
L0H 1H0,PLUMBING & HEATING CONTRACTOR,1
L0H 1J0,BUILDING RENOVATOR,2
L0J,BUILDING RENOVATOR,1
L0J,DRAIN CONTRACTOR,1
L0J,HAWKER/PEDLAR ON FOOT,1
L0J,HEATING CONTRACTOR,1
L0J,MASTER HEATING INSTALLER,5
L0J,MASTER PLUMBER,10
L0J,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0J,TAXICAB OWNER,8
L0J 1C0,BUILDING RENOVATOR,6
L0J 1C0,DRIVEWAY PAVING CONTRACTOR,5
L0J 1C0,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0J 1C0,PLUMBING & HEATING CONTRACTOR,1
L0J 1C0,PLUMBING CONTRACTOR,2
L0K,BUILDING RENOVATOR,5
L0K,DRAIN CONTRACTOR,1
L0K,DRIVING INSTRUCTOR (V),2
L0K,LIMOUSINE OWNER,1
L0K,MASTER HEATING INSTALLER,6
L0K,MASTER PLUMBER,10
L0K,PLUMBING CONTRACTOR,2
L0K,TAXICAB OWNER,5
L0K 1A0,PLUMBING & HEATING CONTRACTOR,1
L0K 1A0,PLUMBING CONTRACTOR,2
L0K 1A0,TOW TRUCK OWNER,1
L0K 1B0,BUILDING RENOVATOR,1
L0K 1B0,LIMOUSINE OWNER,12
L0K 1B0,LIMOUSINE SERVICE COMPANY,1
L0K 1E0,HEATING CONTRACTOR,1
L0K 1N0,BUILDING RENOVATOR,1
L0K 2A0,TAXICAB OWNER,4
L0L,BUILDING RENOVATOR,14
L0L,COLLECTOR OF SECOND HAND GOODS,1
L0L,DRAIN CONTRACTOR,2
L0L,DRIVING INSTRUCTOR (V),1
L0L,MASTER HEATING INSTALLER,14
L0L,MASTER PLUMBER,18
L0L,MOTORIZED REFRESHMENT VEHICLE OWNER,2
L0L,PLUMBING CONTRACTOR,4
L0L,TAXICAB OWNER,4
L0L 1C0,HEATING CONTRACTOR,1
L0L 1C0,TOW TRUCK OWNER,3
L0L 1K0,PLUMBING CONTRACTOR,2
L0L 1L0,BUILDING RENOVATOR,3
L0L 1L0,HEATING CONTRACTOR,1
L0L 1N0,HEATING CONTRACTOR,1
L0L 1P1,HEATING CONTRACTOR,1
L0L 1R0,BUILDING RENOVATOR,1
L0L 1R0,PLUMBING CONTRACTOR,1
L0L 1V0,BUILDING RENOVATOR,1
L0L 1X0,TOW TRUCK OWNER,2
L0L 2J0,TOW TRUCK OWNER,3
L0L 2K0,HEATING CONTRACTOR,1
L0L 2L0,BUILDING RENOVATOR,1
L0L 2L0,TOW TRUCK OWNER,1
L0L 2P0,BUILDING RENOVATOR,1
L0L 2P0,TAXICAB OWNER,1
L0M,AUCTIONEER,3
L0M,DRIVING INSTRUCTOR (V),1
L0M,HEATING CONTRACTOR,1
L0M,MASTER HEATING INSTALLER,4
L0M,MASTER PLUMBER,3
L0M,TAXICAB OWNER,1
L0M 1B0,HEATING CONTRACTOR,1
L0M 1B1,TOW TRUCK OWNER,1
L0M 1J0,BUILDING RENOVATOR,1
L0N,AUCTIONEER,1
L0N,BUILDING RENOVATOR,1
L0N,DRAIN CONTRACTOR,1
L0N,HEATING CONTRACTOR,1
L0N,LIMOUSINE OWNER,1
L0N,MASTER HEATING INSTALLER,5
L0N,MASTER PLUMBER,13
L0N,PLUMBING CONTRACTOR,4
L0N 1A0,BUILDING RENOVATOR,2
L0N 1C0,TOW TRUCK OWNER,1
L0N 1E0,BUILDING RENOVATOR,1
L0N 1E0,PLUMBING & HEATING CONTRACTOR,2
L0N 1E0,TAXICAB OWNER,3
L0N 1K0,HEATING CONTRACTOR,1
L0N 1P0,BUILDING RENOVATOR,3
L0N 1P0,PLUMBING CONTRACTOR,1
L0N 1R0,PLUMBING & HEATING CONTRACTOR,1
L0N 1S1,PLUMBING CONTRACTOR,1
L0N 1S1,TOW TRUCK OWNER,1
L0N 1S5,BUILDING RENOVATOR,1
L0N 1S5,TOW TRUCK OWNER,11
L0P,AUCTIONEER,3
L0P,BUILDING RENOVATOR,6
L0P,DRAIN CONTRACTOR,1
L0P,DRAIN LAYER,2
L0P,DRIVING INSTRUCTOR (V),1
L0P,MASTER HEATING INSTALLER,4
L0P,MASTER PLUMBER,12
L0P,MOTORIZED REFRESHMENT VEHICLE OWNER,5
L0P,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0P,PLUMBING CONTRACTOR,4
L0P,TAXICAB OWNER,1
L0P 1B0,BUILDING RENOVATOR,3
L0P 1B0,PLUMBING CONTRACTOR,3
L0P 1H0,BUILDING RENOVATOR,2
L0P 1H0,PLUMBING CONTRACTOR,1
L0P 1K0,BUILDING RENOVATOR,4
L0P 1K0,LIMOUSINE OWNER,2
L0P 1K0,TOW TRUCK OWNER,1
L0P 1N0,HEATING CONTRACTOR,2
L0R,AUCTIONEER,2
L0R,BUILDING RENOVATOR,3
L0R,DRAIN CONTRACTOR,1
L0R,DRAIN LAYER,1
L0R,DRIVING INSTRUCTOR (V),1
L0R,HAWKER/PEDLAR ON FOOT,2
L0R,LIMOUSINE OWNER,1
L0R,MASTER HEATING INSTALLER,4
L0R,MASTER PLUMBER,8
L0R,TAXICAB OWNER,2
L0R,TRANSIENT TRADER,1
L0R 1B1,BUILDING RENOVATOR,1
L0R 1B3,PLUMBING & HEATING CONTRACTOR,1
L0R 1C0,PLUMBING & HEATING CONTRACTOR,1
L0R 1C0,PLUMBING CONTRACTOR,1
L0R 1K0,PLUMBING CONTRACTOR,1
L0R 1P0,PLUMBING CONTRACTOR,1
L0R 1S0,LIMOUSINE OWNER,3
L0R 1V0,BUILDING RENOVATOR,1
L0R 1V0,HEATING CONTRACTOR,1
L0R 1V0,PLUMBING CONTRACTOR,1
L0R 1W0,LIMOUSINE OWNER,3
L0R 1W0,TOW TRUCK OWNER,2
L0R 2A0,DRIVEWAY PAVING CONTRACTOR,1
L0R 2B0,HEATING CONTRACTOR,1
L0R 2H0,HEATING CONTRACTOR,1
L0R 2H1,BUILDING RENOVATOR,1
L0R 2H3,PLUMBING & HEATING CONTRACTOR,1
L0R 2H3,PLUMBING CONTRACTOR,1
L0S,AUCTIONEER,2
L0S,DRAIN CONTRACTOR,2
L0S,DRAIN LAYER,1
L0S,HAWKER/PEDLAR ON FOOT,1
L0S,MASTER HEATING INSTALLER,2
L0S,MASTER PLUMBER,4
L0S,TAXICAB OWNER,3
L0S 1J0,PLUMBING & HEATING CONTRACTOR,1
L0S 1J0,TOW TRUCK OWNER,10
L0V 1V0,DRIVEWAY PAVING CONTRACTOR,1
L0W,MASTER HEATING INSTALLER,1
L1A,BUILDING RENOVATOR,6
L1A,DRIVING INSTRUCTOR (V),1
L1A,MASTER HEATING INSTALLER,1
L1A,MASTER PLUMBER,3
L1A,PLUMBING CONTRACTOR,1
L1A,TAXICAB OWNER,1
L1A 0E9,PLUMBING CONTRACTOR,1
L1A 2J3,PLUMBING CONTRACTOR,1
L1A 3V8,PLUMBING CONTRACTOR,1
L1A 3Z6,BUILDING RENOVATOR,1
L1B,AUCTIONEER,2
L1B,BUILDING RENOVATOR,1
L1B,MASTER HEATING INSTALLER,2
L1B,MASTER PLUMBER,5
L1B,TAXICAB OWNER,3
L1B,TORONTO TAXICAB OWNER,1
L1B 0V2,BUILDING RENOVATOR,1
L1B 1C2,BUILDING RENOVATOR,1
L1B 1G2,PLUMBING CONTRACTOR,1
L1B 1G8,HEATING CONTRACTOR,1
L1B 1K8,BUILDING RENOVATOR,2
L1B 1L9,BUILDING RENOVATOR,2
L1C,BUILDING RENOVATOR,12
L1C,DRIVING INSTRUCTOR (V),6
L1C,HAWKER/PEDLAR ON FOOT,1
L1C,HAWKER/PEDLAR WITH MOTOR VEHICLE,1
L1C,LIMOUSINE OWNER,1
L1C,MASTER HEATING INSTALLER,3
L1C,MASTER PLUMBER,7
L1C,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L1C,PLUMBING CONTRACTOR,1
L1C,TAXICAB OWNER,4
L1C,TORONTO TAXICAB OWNER,2
L1C,TOW TRUCK OWNER,7
L1C 0B8,BUILDING RENOVATOR,1
L1C 1V4,BUILDING RENOVATOR,1
L1C 3K2,BUILDING RENOVATOR,1
L1C 3K3,PLUMBING CONTRACTOR,1
L1C 3K4,TAXICAB OWNER,4
L1C 3R2,BUILDING RENOVATOR,1
L1C 4L8,BUILDING RENOVATOR,1
L1C 4S5,BUILDING RENOVATOR,1
L1E,BUILDING RENOVATOR,7
L1E,DRIVING INSTRUCTOR (V),4
L1E,LIMOUSINE OWNER,1
L1E,MASTER HEATING INSTALLER,3
L1E,MASTER PLUMBER,6
L1E,MOTORIZED REFRESHMENT VEHICLE OWNER,2
L1E,TAXICAB OWNER,7
L1E,TORONTO TAXICAB OWNER,1
L1E 0B6,TOW TRUCK OWNER,1
L1E 1W9,PLUMBING CONTRACTOR,1
L1E 1Z5,PLUMBING CONTRACTOR,1
L1E 1Z9,BUILDING RENOVATOR,1
L1E 2B6,HEATING CONTRACTOR,1
L1E 2G1,TOW TRUCK OWNER,1
L1E 2M1,BUILDING RENOVATOR,1
L1E 2S8,DRIVEWAY PAVING CONTRACTOR,1
L1E 2X4,PLUMBING CONTRACTOR,1
L1E 2X6,TAXICAB OWNER,1
L1E 2Z1,PLUMBING CONTRACTOR,1
L1E 2Z3,TOW TRUCK OWNER,1
L1E 3B3,TOW TRUCK OWNER,1
L1E 3J7,BUILDING RENOVATOR,1
L1G,BUILDING RENOVATOR,9
L1G,COLLECTOR OF SECOND HAND GOODS,1
L1G,DRAIN LAYER,3
L1G,MASTER HEATING INSTALLER,4
L1G,MASTER PLUMBER,11
L1G,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L1G,PLUMBING CONTRACTOR,4
L1G,TAXICAB OWNER,4
L1G,TOW TRUCK OWNER,2
L1G 1R4,BUILDING RENOVATOR,1
L1G 2C2,BUILDING RENOVATOR,2
L1G 2G2,PLUMBING CONTRACTOR,1
L1G 2H6,PLUMBING CONTRACTOR,1
L1G 3R9,BUILDING RENOVATOR,1
L1G 3T9,TOW TRUCK OWNER,1
L1G 3W3,TAXICAB OWNER,1
L1G 3Y3,BUILDING RENOVATOR,1
L1G 4P5,HEATING CONTRACTOR,1
L1G 5H6,BUILDING RENOVATOR,1
L1G 5Y4,PLUMBING CONTRACTOR,1
L1G 7J2,PLUMBING CONTRACTOR,1
L1G 7M2,BUILDING RENOVATOR,1
L1G 7S1,TAXICAB OWNER,1
L1G 7V7,BUILDING RENOVATOR,1
L1G 7Z4,BUILDING RENOVATOR,1
L1H,AUCTIONEER,1
L1H,BUILDING RENOVATOR,11
L1H,DRAIN CONTRACTOR,2
L1H,DRIVING INSTRUCTOR (V),2
L1H,HAWKER/PEDLAR ON FOOT,1
L1H,MASTER HEATING INSTALLER,3
L1H,MASTER PLUMBER,5
L1H,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L1H,PLUMBING CONTRACTOR,1
L1H,TAXICAB OWNER,6
L1H,TORONTO TAXICAB OWNER,1
L1H,TOW TRUCK OWNER,4
L1H 0G6,BUILDING RENOVATOR,1
L1H 1E3,TOW TRUCK OWNER,1
L1H 3H5,BUILDING RENOVATOR,1
L1H 3L6,PRIVATE PARKING ENFORCEMENT AGENCY,1
L1H 3N1,LIMOUSINE OWNER,1
L1H 3N2,BUILDING RENOVATOR,1
L1H 4K8,TOW TRUCK OWNER,2
L1H 4W9,TOW TRUCK OWNER,2
L1H 5J7,PLUMBING & HEATING CONTRACTOR,1
L1H 5J9,PLUMBING CONTRACTOR,1
L1H 5N7,HEATING CONTRACTOR,2
L1H 5N7,PLUMBING CONTRACTOR,1
L1H 6C1,BUILDING RENOVATOR,1
L1H 6P3,BUILDING RENOVATOR,1
L1H 7A6,PLUMBING CONTRACTOR,1
L1H 7C6,BUILDING RENOVATOR,1
L1H 7K4,BUILDING RENOVATOR,1
L1H 7K4,TOW TRUCK OWNER,9
L1H 7N9,BUILDING RENOVATOR,1
L1H 7P8,BUILDING RENOVATOR,1
L1H 7R7,BUILDING RENOVATOR,1
L1H 7S9,PLUMBING & HEATING CONTRACTOR,1
L1H 7V5,PLUMBING CONTRACTOR,1
L1H 8B4,PLUMBING CONTRACTOR,1
L1H 8E7,PLUMBING CONTRACTOR,1
L1H 8J4,BUILDING RENOVATOR,1
L1H 8K6,BUILDING RENOVATOR,1
L1H 8L7,BUILDING RENOVATOR,1
L1H 8R8,BUILDING RENOVATOR,2
L1J,AUCTIONEER,2
L1J,BUILDING RENOVATOR,10
L1J,DRIVING INSTRUCTOR (V),1
L1J,HAWKER/PEDLAR ON FOOT,1
L1J,HEATING CONTRACTOR,1
L1J,LIMOUSINE OWNER,1
