Var1,Var2,Freq
PERMANENT FIREWORKS VENDOR,ADULT ENTERTAINMENT CLUB,-0.0019623117980726774
PERSONAL SERVICES SETTINGS,ADULT ENTERTAINMENT CLUB,-0.0027418687546204
PET SHOP,ADULT ENTERTAINMENT CLUB,-0.0035779377002836377
PLACE OF AMUSEMENT,ADULT ENTERTAINMENT CLUB,-0.004980702061671075
PLUMBING & HEATING CONTRACTOR,ADULT ENTERTAINMENT CLUB,-0.004575481971273552
PLUMBING CONTRACTOR,ADULT ENTERTAINMENT CLUB,-0.007926821681929774
PRECIOUS METAL SHOP,ADULT ENTERTAINMENT CLUB,-0.0046762032366296615
PRIVATE PARKING ENFORCEMENT AGENCY,ADULT ENTERTAINMENT CLUB,-0.003919130913753367
PRIVATE TRANSPORTATION COMPANY,ADULT ENTERTAINMENT CLUB,-0.0015507490399470348
PUBLIC GARAGE,ADULT ENTERTAINMENT CLUB,-0.007752988921241519
PUBLIC HALL,ADULT ENTERTAINMENT CLUB,0.058023842782612786
RETAIL STORE (FOOD),ADULT ENTERTAINMENT CLUB,-2.794646179434815e-4
SECOND HAND SALVAGE SHOP,ADULT ENTERTAINMENT CLUB,-0.001970487928361926
SECOND HAND SALVAGE YARD,ADULT ENTERTAINMENT CLUB,-0.002046033446620001
SECOND HAND SHOP,ADULT ENTERTAINMENT CLUB,0.0029303913112860847
SHORT TERM RENTAL COMPANY,ADULT ENTERTAINMENT CLUB,-6.931619481290964e-4
SIDEWALK CAFE,ADULT ENTERTAINMENT CLUB,-0.01325972438450601
SIDEWALK VENDING,ADULT ENTERTAINMENT CLUB,-0.00353625995377293
SMOKE SHOP,ADULT ENTERTAINMENT CLUB,-0.004405924343017232
TAXICAB BROKER,ADULT ENTERTAINMENT CLUB,-0.0018022105026109566
TAXICAB OPERATOR,ADULT ENTERTAINMENT CLUB,-0.0016989775127988942
TAXICAB OWNER,ADULT ENTERTAINMENT CLUB,-0.0025787897009612567
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),ADULT ENTERTAINMENT CLUB,-0.003432889077129256
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),ADULT ENTERTAINMENT CLUB,-0.0017547861223975272
TEMPORARY LEASE FIREWORKS VENDOR,ADULT ENTERTAINMENT CLUB,-9.804041513338082e-4
TEMPORARY MOBILE FIREWORKS VENDOR,ADULT ENTERTAINMENT CLUB,-0.0030160422858305763
TEMPORARY SIGN - A-FRAME,ADULT ENTERTAINMENT CLUB,0.023936463632775382
TEMPORARY SIGN - MOBILE,ADULT ENTERTAINMENT CLUB,-0.005051626129932579
TEMPORARY SIGN - PORTABLE,ADULT ENTERTAINMENT CLUB,-0.0020816121085873228
TEMPORARY SIGN PROVIDER,ADULT ENTERTAINMENT CLUB,-6.931619481290963e-4
THEATRE,ADULT ENTERTAINMENT CLUB,-0.0034159813837494786
TORONTO TAXICAB OWNER,ADULT ENTERTAINMENT CLUB,-0.0010168125344952078
TOW TRUCK OWNER,ADULT ENTERTAINMENT CLUB,-0.002842973825029027
VAPOUR PRODUCT RETAILER,ADULT ENTERTAINMENT CLUB,-0.008974195285736286
ADULT ENTERTAINMENT CLUB,BILLIARD HALL,-0.0034764737958183534
BILLIARD HALL,BILLIARD HALL,1
BODY RUB PARLOUR,BILLIARD HALL,-0.005279550008073682
BOWLING HOUSE,BILLIARD HALL,-0.004052650907466458
BUILDING CLEANER,BILLIARD HALL,-0.001810548832873716
BUILDING RENOVATOR,BILLIARD HALL,-0.022956514560812585
CARNIVAL,BILLIARD HALL,-0.001810548832873716
CIRCUS,BILLIARD HALL,-0.001810548832873716
CLOTHING DROP BOX LOCATION PERMIT,BILLIARD HALL,-0.0017449556923634932
CLOTHING DROP BOX OPERATOR,BILLIARD HALL,-0.0022177435076361084
COMMERCIAL PARKING LOT,BILLIARD HALL,-0.01284987941788397
CURB LANE CAFE,BILLIARD HALL,0.08319275188079842
CURBLANE VENDING,BILLIARD HALL,-0.0029087514820223003
DRAIN CONTRACTOR,BILLIARD HALL,-0.008136584454612012
DRIVE-SELF RENTAL OWNER,BILLIARD HALL,-0.012247275079223126
DRIVEWAY PAVING CONTRACTOR,BILLIARD HALL,-0.006818278023730388
DRIVING SCHOOL OPERATOR (B),BILLIARD HALL,0.013465166842036691
DRIVING SCHOOL OPERATOR (V),BILLIARD HALL,0.04274535082397812
EATING ESTABLISHMENT,BILLIARD HALL,0.08513840400034481
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,BILLIARD HALL,-0.004748235174146275
HAWKER/PEDLAR WITH MOTOR VEHICLE,BILLIARD HALL,-0.0012800879662435282
HEATING CONTRACTOR,BILLIARD HALL,-0.008978674754517161
HOLISTIC CENTRE,BILLIARD HALL,0.0018360672942498457
INSULATION INSTALLER,BILLIARD HALL,-0.001810548832873716
LAUNDRY,BILLIARD HALL,0.008029186779906524
LIMOUSINE OWNER,BILLIARD HALL,-0.0017304317546059887
LIMOUSINE SERVICE COMPANY,BILLIARD HALL,-0.0036238742266658667
MARKETING DISPLAY,BILLIARD HALL,-9.528057490001017e-4
MOBILE VENDING (FOOD TRUCK),BILLIARD HALL,-0.006851173220300403
MOBILE VENDING (ICE CREAM TRUCK),BILLIARD HALL,-0.002745437996037661
MOTORIZED REFRESHMENT VEHICLE OWNER,BILLIARD HALL,-0.005072519707352505
NON-MOTORIZED REFRESHMENT VEHICLE OWNER,BILLIARD HALL,-0.004302365415121664
PAWN SHOP,BILLIARD HALL,-0.008229490577527499
PAYDAY LOAN,BILLIARD HALL,-0.0027452114548014027
PERMANENT FIREWORKS VENDOR,BILLIARD HALL,-0.003623874226665867
PERSONAL SERVICES SETTINGS,BILLIARD HALL,0.0254320540646655
PET SHOP,BILLIARD HALL,-0.006607510707222381
PLACE OF AMUSEMENT,BILLIARD HALL,0.049895639940671616
PLUMBING & HEATING CONTRACTOR,BILLIARD HALL,-0.008449712836949706
PLUMBING CONTRACTOR,BILLIARD HALL,-0.01463875660368301
PRECIOUS METAL SHOP,BILLIARD HALL,-0.008635718546113596
PRIVATE PARKING ENFORCEMENT AGENCY,BILLIARD HALL,-0.007237604912343428
PRIVATE TRANSPORTATION COMPANY,BILLIARD HALL,-0.002863825964564048
PUBLIC GARAGE,BILLIARD HALL,-0.012425759936925958
PUBLIC HALL,BILLIARD HALL,-0.009950514508764049
RETAIL STORE (FOOD),BILLIARD HALL,0.007538452000269139
SECOND HAND SALVAGE SHOP,BILLIARD HALL,-0.003638973390752925
SECOND HAND SALVAGE YARD,BILLIARD HALL,-0.0037784861108132338
SECOND HAND SHOP,BILLIARD HALL,0.017141920484005303
SHORT TERM RENTAL COMPANY,BILLIARD HALL,-0.0012800879662435282
SIDEWALK CAFE,BILLIARD HALL,0.03730329991340599
SIDEWALK VENDING,BILLIARD HALL,-0.0065305428616669456
SMOKE SHOP,BILLIARD HALL,-0.008136584454612012
TAXICAB BROKER,BILLIARD HALL,-0.0033282092060257277
TAXICAB OPERATOR,BILLIARD HALL,-0.003137565001832986
TAXICAB OWNER,BILLIARD HALL,-0.004762346912699325
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),BILLIARD HALL,-0.0063396440167306865
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),BILLIARD HALL,-0.003240628838145432
TEMPORARY LEASE FIREWORKS VENDOR,BILLIARD HALL,-0.0018105488328737163
TEMPORARY MOBILE FIREWORKS VENDOR,BILLIARD HALL,0.01521891798553476
TEMPORARY SIGN - A-FRAME,BILLIARD HALL,-0.010101873709433684
TEMPORARY SIGN - MOBILE,BILLIARD HALL,-0.002284622738739921
TEMPORARY SIGN - PORTABLE,BILLIARD HALL,-0.0038441905499595856
TEMPORARY SIGN PROVIDER,BILLIARD HALL,-0.0012800879662435282
THEATRE,BILLIARD HALL,0.02538734644033699
TORONTO TAXICAB OWNER,BILLIARD HALL,-0.0018777855490279781
TOW TRUCK OWNER,BILLIARD HALL,-0.0052502255664605615
VAPOUR PRODUCT RETAILER,BILLIARD HALL,-0.0039858660265902675
ADULT ENTERTAINMENT CLUB,BODY RUB PARLOUR,-0.002858852879916167
BILLIARD HALL,BODY RUB PARLOUR,-0.005279550008073682
BODY RUB PARLOUR,BODY RUB PARLOUR,1
BOWLING HOUSE,BODY RUB PARLOUR,-0.0033326679269210634
BUILDING CLEANER,BODY RUB PARLOUR,-0.0014888916324684793
BUILDING RENOVATOR,BODY RUB PARLOUR,0.05244259896107973
CARNIVAL,BODY RUB PARLOUR,-0.0014888916324684793
CIRCUS,BODY RUB PARLOUR,-0.0014888916324684793
CLOTHING DROP BOX LOCATION PERMIT,BODY RUB PARLOUR,-0.01659283646342915
CLOTHING DROP BOX OPERATOR,BODY RUB PARLOUR,-0.0018237452045078346
COMMERCIAL PARKING LOT,BODY RUB PARLOUR,-0.021711270326782956
CURB LANE CAFE,BODY RUB PARLOUR,-0.013760171753287075
CURBLANE VENDING,BODY RUB PARLOUR,-0.0023919905742831524
DRAIN CONTRACTOR,BODY RUB PARLOUR,-0.006691060904508561
DRIVE-SELF RENTAL OWNER,BODY RUB PARLOUR,0.06020995543613443
DRIVEWAY PAVING CONTRACTOR,BODY RUB PARLOUR,0.019825539970781174
DRIVING SCHOOL OPERATOR (B),BODY RUB PARLOUR,0.05790609917787365
DRIVING SCHOOL OPERATOR (V),BODY RUB PARLOUR,-0.002293101012541772
EATING ESTABLISHMENT,BODY RUB PARLOUR,-0.0029651328400176254
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,BODY RUB PARLOUR,-0.003904676577299474
HAWKER/PEDLAR WITH MOTOR VEHICLE,BODY RUB PARLOUR,-0.0010526710062486989
HEATING CONTRACTOR,BODY RUB PARLOUR,-0.007383547723172071
HOLISTIC CENTRE,BODY RUB PARLOUR,0.11600287273430002
INSULATION INSTALLER,BODY RUB PARLOUR,-0.0014888916324684793
LAUNDRY,BODY RUB PARLOUR,-0.0051023912771157795
LIMOUSINE OWNER,BODY RUB PARLOUR,-0.0014230079372679965
LIMOUSINE SERVICE COMPANY,BODY RUB PARLOUR,-0.0029800665495650427
MARKETING DISPLAY,BODY RUB PARLOUR,-0.01065705466930009
MOBILE VENDING (FOOD TRUCK),BODY RUB PARLOUR,-0.005634012347574654
MOBILE VENDING (ICE CREAM TRUCK),BODY RUB PARLOUR,-0.0022576909197602477
MOTORIZED REFRESHMENT VEHICLE OWNER,BODY RUB PARLOUR,-0.004171349598906608
NON-MOTORIZED REFRESHMENT VEHICLE OWNER,BODY RUB PARLOUR,-0.0035380188316871627
PAWN SHOP,BODY RUB PARLOUR,-0.0067674615773335
PAYDAY LOAN,BODY RUB PARLOUR,-0.01229968467773674
PERMANENT FIREWORKS VENDOR,BODY RUB PARLOUR,-0.0029800665495650427
PERSONAL SERVICES SETTINGS,BODY RUB PARLOUR,0.01486832180722855
PET SHOP,BODY RUB PARLOUR,-0.005433638256425568
PLACE OF AMUSEMENT,BODY RUB PARLOUR,-0.0075639475958478065
PLUMBING & HEATING CONTRACTOR,BODY RUB PARLOUR,-0.006948559746785578
PLUMBING CONTRACTOR,BODY RUB PARLOUR,-0.012038074765634638
PRECIOUS METAL SHOP,BODY RUB PARLOUR,0.008360067374044215
PRIVATE PARKING ENFORCEMENT AGENCY,BODY RUB PARLOUR,-0.005951791632152296
PRIVATE TRANSPORTATION COMPANY,BODY RUB PARLOUR,-0.0023550464025417347
PUBLIC GARAGE,BODY RUB PARLOUR,0.18756924882950823
PUBLIC HALL,BODY RUB PARLOUR,0.027930026918671077
RETAIL STORE (FOOD),BODY RUB PARLOUR,-0.024342965579148047
SECOND HAND SALVAGE SHOP,BODY RUB PARLOUR,-0.0029924832370679185
SECOND HAND SALVAGE YARD,BODY RUB PARLOUR,-0.0031072105052582038
SECOND HAND SHOP,BODY RUB PARLOUR,-0.014842342587069674
SHORT TERM RENTAL COMPANY,BODY RUB PARLOUR,-0.0010526710062486989
SIDEWALK CAFE,BODY RUB PARLOUR,-0.020136892176629916
SIDEWALK VENDING,BODY RUB PARLOUR,-0.005370344309785793
SMOKE SHOP,BODY RUB PARLOUR,-0.006691060904508561
TAXICAB BROKER,BODY RUB PARLOUR,-0.002736928575459139
TAXICAB OPERATOR,BODY RUB PARLOUR,-0.002580153704079029
TAXICAB OWNER,BODY RUB PARLOUR,-0.0039162812626135244
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),BODY RUB PARLOUR,-0.005213360036446773
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),BODY RUB PARLOUR,-0.0026649074984586834
TEMPORARY LEASE FIREWORKS VENDOR,BODY RUB PARLOUR,-0.0014888916324684793
TEMPORARY MOBILE FIREWORKS VENDOR,BODY RUB PARLOUR,-0.004580315287766773
TEMPORARY SIGN - A-FRAME,BODY RUB PARLOUR,-0.00830720219479338
TEMPORARY SIGN - MOBILE,BODY RUB PARLOUR,-0.007671656494908987
TEMPORARY SIGN - PORTABLE,BODY RUB PARLOUR,-0.003161242071756063
TEMPORARY SIGN PROVIDER,BODY RUB PARLOUR,-0.0010526710062486989
THEATRE,BODY RUB PARLOUR,-0.005187683152925579
TORONTO TAXICAB OWNER,BODY RUB PARLOUR,-0.001544183255792356
TOW TRUCK OWNER,BODY RUB PARLOUR,-0.004317484716536469
VAPOUR PRODUCT RETAILER,BODY RUB PARLOUR,0.025187286943672303
ADULT ENTERTAINMENT CLUB,BOWLING HOUSE,-0.002194492466287414
BILLIARD HALL,BOWLING HOUSE,-0.004052650907466458
BODY RUB PARLOUR,BOWLING HOUSE,-0.0033326679269210634
BOWLING HOUSE,BOWLING HOUSE,1
BUILDING CLEANER,BOWLING HOUSE,-0.0011428924844381146
BUILDING RENOVATOR,BOWLING HOUSE,0.014707153574831511
CARNIVAL,BOWLING HOUSE,-0.0011428924844381146
CIRCUS,BOWLING HOUSE,-0.0011428924844381146
CLOTHING DROP BOX LOCATION PERMIT,BOWLING HOUSE,0.02216928975261435
CLOTHING DROP BOX OPERATOR,BOWLING HOUSE,-0.0013999304195875942
COMMERCIAL PARKING LOT,BOWLING HOUSE,-0.0038341282446759132
CURB LANE CAFE,BOWLING HOUSE,0.02491841317548422
CURBLANE VENDING,BOWLING HOUSE,-0.001836122918941114
DRAIN CONTRACTOR,BOWLING HOUSE,-0.0051361449375614135
DRIVE-SELF RENTAL OWNER,BOWLING HOUSE,-0.00773098100904226
DRIVEWAY PAVING CONTRACTOR,BOWLING HOUSE,-0.004303975992606958
DRIVING SCHOOL OPERATOR (B),BOWLING HOUSE,-0.008417745053646454
DRIVING SCHOOL OPERATOR (V),BOWLING HOUSE,-0.0017602140116446017
EATING ESTABLISHMENT,BOWLING HOUSE,0.058667583226246885
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,BOWLING HOUSE,-0.0029972802701284484
HAWKER/PEDLAR WITH MOTOR VEHICLE,BOWLING HOUSE,-8.080438867353334e-4
HEATING CONTRACTOR,BOWLING HOUSE,-0.005667706780857447
HOLISTIC CENTRE,BOWLING HOUSE,-0.01082549542241389
INSULATION INSTALLER,BOWLING HOUSE,-0.0011428924844381146
LAUNDRY,BOWLING HOUSE,0.005068351132148161
LIMOUSINE OWNER,BOWLING HOUSE,-0.0010923193074186398
LIMOUSINE SERVICE COMPANY,BOWLING HOUSE,-0.0022875376477041326
MARKETING DISPLAY,BOWLING HOUSE,0.014556636257740861
MOBILE VENDING (FOOD TRUCK),BOWLING HOUSE,-0.004324740786271381
MOBILE VENDING (ICE CREAM TRUCK),BOWLING HOUSE,-0.0017330327661927993
MOTORIZED REFRESHMENT VEHICLE OWNER,BOWLING HOUSE,-0.003201981932459571
NON-MOTORIZED REFRESHMENT VEHICLE OWNER,BOWLING HOUSE,-0.002715829039774916
PAWN SHOP,BOWLING HOUSE,-0.0051947910827028635
PAYDAY LOAN,BOWLING HOUSE,0.03680964704350151
PERMANENT FIREWORKS VENDOR,BOWLING HOUSE,-0.002287537647704133
PERSONAL SERVICES SETTINGS,BOWLING HOUSE,0.012959995095053224
PET SHOP,BOWLING HOUSE,-0.004170931040916891
PLACE OF AMUSEMENT,BOWLING HOUSE,0.03149616892901627
PLUMBING & HEATING CONTRACTOR,BOWLING HOUSE,-0.005333804381118093
PLUMBING CONTRACTOR,BOWLING HOUSE,0.011937102675674447
PRECIOUS METAL SHOP,BOWLING HOUSE,-0.005451218793370414
PRIVATE PARKING ENFORCEMENT AGENCY,BOWLING HOUSE,-0.004568672277411383
PRIVATE TRANSPORTATION COMPANY,BOWLING HOUSE,-0.0018077640946275852
PUBLIC GARAGE,BOWLING HOUSE,0.009174997370054746
PUBLIC HALL,BOWLING HOUSE,-0.006281171787180433
RETAIL STORE (FOOD),BOWLING HOUSE,0.03582967580296499
SECOND HAND SALVAGE SHOP,BOWLING HOUSE,-0.00229706885771243
SECOND HAND SALVAGE YARD,BOWLING HOUSE,-0.0023851349934307185
SECOND HAND SHOP,BOWLING HOUSE,0.0019351391471499112
SHORT TERM RENTAL COMPANY,BOWLING HOUSE,-8.080438867353334e-4
SIDEWALK CAFE,BOWLING HOUSE,0.0295480930914264
SIDEWALK VENDING,BOWLING HOUSE,-0.004122345788405871
SMOKE SHOP,BOWLING HOUSE,-0.0051361449375614135
TAXICAB BROKER,BOWLING HOUSE,-0.002100901792395819
TAXICAB OPERATOR,BOWLING HOUSE,-0.0019805593723420394
TAXICAB OWNER,BOWLING HOUSE,-0.0030061881767486963
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),BOWLING HOUSE,0.04500822381464474
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),BOWLING HOUSE,-0.00204561748168444
TEMPORARY LEASE FIREWORKS VENDOR,BOWLING HOUSE,-0.0011428924844381146
TEMPORARY MOBILE FIREWORKS VENDOR,BOWLING HOUSE,-0.00351590928754613
TEMPORARY SIGN - A-FRAME,BOWLING HOUSE,-0.0063767159060437294
TEMPORARY SIGN - MOBILE,BOWLING HOUSE,0.034131576485254514
TEMPORARY SIGN - PORTABLE,BOWLING HOUSE,-0.002426610323082777
TEMPORARY SIGN PROVIDER,BOWLING HOUSE,-8.080438867353334e-4
THEATRE,BOWLING HOUSE,-0.003982132720629946
TORONTO TAXICAB OWNER,BOWLING HOUSE,-0.0011853350500158884
TOW TRUCK OWNER,BOWLING HOUSE,-0.0033141571398484027
VAPOUR PRODUCT RETAILER,BOWLING HOUSE,-0.010461543162576647
ADULT ENTERTAINMENT CLUB,BUILDING CLEANER,-9.804041513338082e-4
BILLIARD HALL,BUILDING CLEANER,-0.001810548832873716
BODY RUB PARLOUR,BUILDING CLEANER,-0.0014888916324684793
BOWLING HOUSE,BUILDING CLEANER,-0.0011428924844381146
BUILDING CLEANER,BUILDING CLEANER,1
BUILDING RENOVATOR,BUILDING CLEANER,-0.006473991606853938
CARNIVAL,BUILDING CLEANER,-5.105948429920858e-4
CIRCUS,BUILDING CLEANER,-5.105948429920858e-4
CLOTHING DROP BOX LOCATION PERMIT,BUILDING CLEANER,-0.005690284332373883
CLOTHING DROP BOX OPERATOR,BUILDING CLEANER,-6.254282555201082e-4
COMMERCIAL PARKING LOT,BUILDING CLEANER,-0.007445580606348907
CURB LANE CAFE,BUILDING CLEANER,-0.0047188610525437215
CURBLANE VENDING,BUILDING CLEANER,-8.203001649554315e-4
DRAIN CONTRACTOR,BUILDING CLEANER,-0.002294607020071597
DRIVE-SELF RENTAL OWNER,BUILDING CLEANER,0.05439103067547596
DRIVEWAY PAVING CONTRACTOR,BUILDING CLEANER,0.10273787468703406
DRIVING SCHOOL OPERATOR (B),BUILDING CLEANER,-0.0037606837673161276
DRIVING SCHOOL OPERATOR (V),BUILDING CLEANER,-7.863873541438191e-4
EATING ESTABLISHMENT,BUILDING CLEANER,-0.017518054817616674
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,BUILDING CLEANER,-0.0013390549590339698
HAWKER/PEDLAR WITH MOTOR VEHICLE,BUILDING CLEANER,-3.6099899780265193e-4
HEATING CONTRACTOR,BUILDING CLEANER,-0.002532085820233414
HOLISTIC CENTRE,BUILDING CLEANER,-0.004836362309475195
INSULATION INSTALLER,BUILDING CLEANER,-5.105948429920858e-4
LAUNDRY,BUILDING CLEANER,-0.008439985316261014
LIMOUSINE OWNER,BUILDING CLEANER,0.6935555921985049
LIMOUSINE SERVICE COMPANY,BUILDING CLEANER,0.2492974672003235
MARKETING DISPLAY,BUILDING CLEANER,-0.003654689862557578
MOBILE VENDING (FOOD TRUCK),BUILDING CLEANER,-0.0019321068016588873
MOBILE VENDING (ICE CREAM TRUCK),BUILDING CLEANER,-7.742439513804214e-4
MOTORIZED REFRESHMENT VEHICLE OWNER,BUILDING CLEANER,-0.001430506792484046
NON-MOTORIZED REFRESHMENT VEHICLE OWNER,BUILDING CLEANER,-0.0012133147439839576
PAWN SHOP,BUILDING CLEANER,-0.002320807576710406
PAYDAY LOAN,BUILDING CLEANER,-0.004218007160446654
PERMANENT FIREWORKS VENDOR,BUILDING CLEANER,-0.0010219727069447032
PERSONAL SERVICES SETTINGS,BUILDING CLEANER,-0.012178075567228138
PET SHOP,BUILDING CLEANER,-0.0018633912716774833
PLACE OF AMUSEMENT,BUILDING CLEANER,-0.0025939514675753536
PLUMBING & HEATING CONTRACTOR,BUILDING CLEANER,-0.0023829126952973323
PLUMBING CONTRACTOR,BUILDING CLEANER,-0.004128291650545181
PRECIOUS METAL SHOP,BUILDING CLEANER,-0.002435368367379607
PRIVATE PARKING ENFORCEMENT AGENCY,BUILDING CLEANER,-0.0020410848228772944
PRIVATE TRANSPORTATION COMPANY,BUILDING CLEANER,-8.076306709785547e-4
PUBLIC GARAGE,BUILDING CLEANER,0.04731714295997375
PUBLIC HALL,BUILDING CLEANER,-0.0028061554049490928
RETAIL STORE (FOOD),BUILDING CLEANER,-0.005193261526694176
SECOND HAND SALVAGE SHOP,BUILDING CLEANER,-0.0010262308386097335
SECOND HAND SALVAGE YARD,BUILDING CLEANER,-0.001065574972333831
SECOND HAND SHOP,BUILDING CLEANER,-0.005089976609187525
SHORT TERM RENTAL COMPANY,BUILDING CLEANER,-3.6099899780265193e-4
SIDEWALK CAFE,BUILDING CLEANER,-0.006905669341581571
SIDEWALK VENDING,BUILDING CLEANER,-0.0018416854859492737
SMOKE SHOP,BUILDING CLEANER,-0.002294607020071597
TAXICAB BROKER,BUILDING CLEANER,-9.385918933201454e-4
TAXICAB OPERATOR,BUILDING CLEANER,-8.848281142164125e-4
TAXICAB OWNER,BUILDING CLEANER,-0.0013430346257516047
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),BUILDING CLEANER,-0.0017878498953328686
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),BUILDING CLEANER,-9.138932586436911e-4
TEMPORARY LEASE FIREWORKS VENDOR,BUILDING CLEANER,-5.105948429920858e-4
TEMPORARY MOBILE FIREWORKS VENDOR,BUILDING CLEANER,-0.0015707559329446613
TEMPORARY SIGN - A-FRAME,BUILDING CLEANER,-0.0028488403775375737
TEMPORARY SIGN - MOBILE,BUILDING CLEANER,-0.002630888748439653
TEMPORARY SIGN - PORTABLE,BUILDING CLEANER,-0.0010841043525862079
TEMPORARY SIGN PROVIDER,BUILDING CLEANER,-3.6099899780265193e-4
THEATRE,BUILDING CLEANER,-0.0017790443623953948
TORONTO TAXICAB OWNER,BUILDING CLEANER,-5.295563423478357e-4
TOW TRUCK OWNER,BUILDING CLEANER,-0.001480621814836708
VAPOUR PRODUCT RETAILER,BUILDING CLEANER,-0.0046737642090427
ADULT ENTERTAINMENT CLUB,BUILDING RENOVATOR,0.0014841746874722287
BILLIARD HALL,BUILDING RENOVATOR,-0.022956514560812585
BODY RUB PARLOUR,BUILDING RENOVATOR,0.05244259896107973
BOWLING HOUSE,BUILDING RENOVATOR,0.014707153574831511
BUILDING CLEANER,BUILDING RENOVATOR,-0.006473991606853938
BUILDING RENOVATOR,BUILDING RENOVATOR,1
CARNIVAL,BUILDING RENOVATOR,-0.006473991606853938
CIRCUS,BUILDING RENOVATOR,-0.006473991606853938
CLOTHING DROP BOX LOCATION PERMIT,BUILDING RENOVATOR,-0.039109455186848156
CLOTHING DROP BOX OPERATOR,BUILDING RENOVATOR,-0.007930000336860513
COMMERCIAL PARKING LOT,BUILDING RENOVATOR,-0.06637675932160847
CURB LANE CAFE,BUILDING RENOVATOR,-0.03227627449097414
CURBLANE VENDING,BUILDING RENOVATOR,-0.010400842186149301
DRAIN CONTRACTOR,BUILDING RENOVATOR,0.19806571480234403
DRIVE-SELF RENTAL OWNER,BUILDING RENOVATOR,0.012770334454650641
DRIVEWAY PAVING CONTRACTOR,BUILDING RENOVATOR,0.1939479876755037
